year,field_of_study,major,students
2019/20,Health Professions,Residency Programs,223
2019/20,Humanities,English Language and Literature/Letters,4715
2019/20,Humanities,"Foreign Languages, Literatures and Linguistics",7293
2019/20,Humanities,Philosophy and Religious Studies,2896
2019/20,Humanities,Theology and Religious Vocations,2088
2019/20,Intensive English,Intensive English,21301
2019/20,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2071
2019/20,Legal Studies and Law Enforcement,Legal Professions and Studies,14198
2019/20,Math and Computer Science,Computer and Information Sciences,157566
2019/20,Math and Computer Science,Mathematics and Statistics,47641
2019/20,Other Fields of Study,Basic Skills,3481
2019/20,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3891
2019/20,Other Fields of Study,Liberal Arts and Sciences/General Studies,45775
2019/20,Other Fields of Study,Library Science,263
2019/20,Other Fields of Study,Multi/Interdisciplinary Studies,21738
2019/20,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5963
2019/20,Other Fields of Study,Personal and Culinary Services,669
2019/20,Other Fields of Study,Reserve Officer Training Corps,57
2019/20,Physical and Life Sciences,Biological and Biomedical Sciences,45298
2019/20,Physical and Life Sciences,Physical Sciences,35773
2019/20,Physical and Life Sciences,Science Technologies/Technicians,900
2019/20,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2695
2019/20,Social Sciences,History,2618
2019/20,Social Sciences,Psychology,16984
2019/20,Social Sciences,Public Administration and Social Service Professions,7739
2019/20,Social Sciences,Social Sciences,54404
2019/20,Undeclared,Undeclared,20273
2020/21,Agriculture,Agriculture,7348
2020/21,Agriculture,Natural Resources and Conservation,5012
2020/21,Business and Management,Business and Management,145658
2020/21,Communications and Journalism,"Communication, Journalism",17308
2020/21,Communications and Journalism,Communications Technologies/Technicians,3305
2020/21,Education,Education,15402
2020/21,Engineering,Construction Trades,136
2020/21,Engineering,Engineering,175076
2020/21,Engineering,Engineering Technologies/Technicians,12276
2020/21,Engineering,Mechanic and Repair Technologies/Technicians,326
2020/21,Engineering,Military Technologies,123
2020/21,Engineering,Precision Production,54
2020/21,Engineering,Transportation and Materials Moving,2599
2020/21,Fine and Applied Arts,Architecture,12914
2020/21,Fine and Applied Arts,Visual and Performing Arts,38187
2020/21,Health Professions,Health Professions,31768
2020/21,Health Professions,Residency Programs,700
2020/21,Humanities,English Language and Literature/Letters,3505
2020/21,Humanities,"Foreign Languages, Literatures and Linguistics",6446
2020/21,Humanities,Philosophy and Religious Studies,2845
2020/21,Humanities,Theology and Religious Vocations,1906
2020/21,Intensive English,Intensive English,8355
2020/21,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1950
2020/21,Legal Studies and Law Enforcement,Legal Professions and Studies,9734
2020/21,Math and Computer Science,Computer and Information Sciences,139621
2020/21,Math and Computer Science,Mathematics and Statistics,42485
2020/21,Other Fields of Study,Basic Skills,1170
2020/21,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2851
2020/21,Other Fields of Study,Liberal Arts and Sciences/General Studies,33266
2020/21,Other Fields of Study,Library Science,238
2020/21,Other Fields of Study,Multi/Interdisciplinary Studies,19876
2020/21,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5728
2020/21,Other Fields of Study,Personal and Culinary Services,775
2020/21,Other Fields of Study,Reserve Officer Training Corps,138
2020/21,Physical and Life Sciences,Biological and Biomedical Sciences,42067
2020/21,Physical and Life Sciences,Physical Sciences,31964
2020/21,Physical and Life Sciences,Science Technologies/Technicians,998
2020/21,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2217
2020/21,Social Sciences,History,2369
2020/21,Social Sciences,Psychology,16196
2020/21,Social Sciences,Public Administration and Social Service Professions,6360
2020/21,Social Sciences,Social Sciences,49277
2020/21,Undeclared,Undeclared,13566
2021/22,Agriculture,Agriculture,7546
2021/22,Agriculture,Natural Resources and Conservation,5179
2021/22,Business and Management,Business and Management,147293
2021/22,Communications and Journalism,"Communication, Journalism",16771
2021/22,Communications and Journalism,Communications Technologies/Technicians,2931
2021/22,Education,Education,15272
2021/22,Engineering,Construction Trades,140
2021/22,Engineering,Engineering,173718
2021/22,Engineering,Engineering Technologies/Technicians,11261
2021/22,Engineering,Mechanic and Repair Technologies/Technicians,353
2021/22,Engineering,Military Technologies,133
2021/22,Engineering,Precision Production,50
2021/22,Engineering,Transportation and Materials Moving,2539
2021/22,Fine and Applied Arts,Architecture,12395
2021/22,Fine and Applied Arts,Visual and Performing Arts,38741
2021/22,Health Professions,Health Professions,31379
2021/22,Health Professions,Residency Programs,673
2021/22,Humanities,English Language and Literature/Letters,3816
2021/22,Humanities,"Foreign Languages, Literatures and Linguistics",6343
2021/22,Humanities,Philosophy and Religious Studies,2838
2021/22,Humanities,Theology and Religious Vocations,2207
2021/22,Intensive English,Intensive English,7358
2021/22,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1853
2021/22,Legal Studies and Law Enforcement,Legal Professions and Studies,11940
2021/22,Math and Computer Science,Computer and Information Sciences,157896
2021/22,Math and Computer Science,Mathematics and Statistics,42405
2021/22,Other Fields of Study,Basic Skills,1581
2021/22,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2329
2021/22,Other Fields of Study,Liberal Arts and Sciences/General Studies,37228
2021/22,Other Fields of Study,Library Science,212
2021/22,Other Fields of Study,Multi/Interdisciplinary Studies,22932
2021/22,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6095
2021/22,Other Fields of Study,Personal and Culinary Services,544
2021/22,Other Fields of Study,Reserve Officer Training Corps,27
2021/22,Physical and Life Sciences,Biological and Biomedical Sciences,45214
2021/22,Physical and Life Sciences,Physical Sciences,32917
2021/22,Physical and Life Sciences,Science Technologies/Technicians,581
2021/22,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2373
2021/22,Social Sciences,History,2428
2021/22,Social Sciences,Psychology,16832
2021/22,Social Sciences,Public Administration and Social Service Professions,6780
2021/22,Social Sciences,Social Sciences,50357
2021/22,Undeclared,Undeclared,17059
2022/23,Agriculture,Agriculture,7868
2022/23,Agriculture,Natural Resources and Conservation,5593
2022/23,Business and Management,Business and Management,157281
2022/23,Communications and Journalism,"Communication, Journalism",18059
2022/23,Communications and Journalism,Communications Technologies/Technicians,3931
2022/23,Education,Education,15897
2022/23,Engineering,Construction Trades,248
2022/23,Engineering,Engineering,183048
2022/23,Engineering,Engineering Technologies/Technicians,16132
2022/23,Engineering,Mechanic and Repair Technologies/Technicians,361
2022/23,Engineering,Military Technologies,295
2022/23,Engineering,Precision Production,43
2022/23,Engineering,Transportation and Materials Moving,2674
2022/23,Fine and Applied Arts,Architecture,13242
2022/23,Fine and Applied Arts,Visual and Performing Arts,38447
2022/23,Health Professions,Health Professions,33785
2022/23,Health Professions,Residency Programs,1071
2022/23,Humanities,English Language and Literature/Letters,4116
2022/23,Humanities,"Foreign Languages, Literatures and Linguistics",6416
2022/23,Humanities,Philosophy and Religious Studies,3146
2022/23,Humanities,Theology and Religious Vocations,2105
2022/23,Intensive English,Intensive English,10404
2022/23,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2084
2022/23,Legal Studies and Law Enforcement,Legal Professions and Studies,14012
2022/23,Math and Computer Science,Computer and Information Sciences,196727
2022/23,Math and Computer Science,Mathematics and Statistics,43503
2022/23,Other Fields of Study,Basic Skills,3076
2022/23,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2250
2022/23,Other Fields of Study,Liberal Arts and Sciences/General Studies,43067
2022/23,Other Fields of Study,Library Science,103
2022/23,Other Fields of Study,Multi/Interdisciplinary Studies,32496
2022/23,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6287
2022/23,Other Fields of Study,Personal and Culinary Services,646
2022/23,Other Fields of Study,Reserve Officer Training Corps,37
2022/23,Physical and Life Sciences,Biological and Biomedical Sciences,49993
2022/23,Physical and Life Sciences,Physical Sciences,34126
2022/23,Physical and Life Sciences,Science Technologies/Technicians,711
2022/23,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2492
2022/23,Social Sciences,History,2551
2022/23,Social Sciences,Psychology,18474
2022/23,Social Sciences,Public Administration and Social Service Professions,8483
2022/23,Social Sciences,Social Sciences,53998
2022/23,Undeclared,Undeclared,17910
